Date,NomFR,Heure,site,longitude,latitude
2024-03-07,Pipistrelle de Kuhl,18,Château,-0.3834056854,44.7177627705
2024-05-31,Serotine commune,22,Bas Glanan,-0.3770622611,44.7172574513
2024-03-09,Murin groupe Natterer,20,Entrée,-0.3853797913,44.7167335603
2024-07-25,Noctule de Leisler,4,Bois,-0.3774109483,44.7149057142
2024-07-23,Pipistrelle commune,22,Bois,-0.3774109483,44.7149057142
2024-05-30,Barbatiste pyreneen,19,Bas Glanan,-0.3770622611,44.7172574513
2024-06-01,Noctule de Leisler,5,Bas Glanan,-0.3770622611,44.7172574513
2024-07-25,Serotine commune,0,Labat,-0.3820672631,44.7143621141
2024-07-24,Noctule de Leisler,23,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Noctule de Leisler,6,Bois,-0.3774109483,44.7149057142
2024-07-02,Lampyre sp.,22,Garenne,-0.3852939606,44.7161770169
2024-07-24,Pipistrelle de Kuhl,0,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Pipistrelle de Kuhl,5,Aplomb,-0.3806054591,44.7167962612
2024-05-31,Noctule de Leisler,22,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Serotine commune,22,Aplomb,-0.3806054591,44.7167962612
2024-07-25,Noctule de Leisler,4,Labat,-0.3820672631,44.7143621141
2024-03-08,Murin groupe Natterer,4,Entrée,-0.3853797913,44.7167335603
2024-07-24,Pipistrelle commune,5,Bas Glanan,-0.3770622611,44.7172574513
2024-07-05,Barbatiste pyreneen,21,Labat,-0.3820672631,44.7143621141
2024-07-24,Pipistrelle commune,0,Labat,-0.3820672631,44.7143621141
2024-07-24,Barbastelle d'Europe,1,Bas Glanan,-0.3770622611,44.7172574513
2024-03-07,Murin groupe Natterer,16,Château,-0.3834056854,44.7177627705
2024-05-29,Barbatiste pyreneen,18,Bas Glanan,-0.3770622611,44.7172574513
2024-07-25,Pipistrelle de Kuhl,1,Bas Glanan,-0.3770622611,44.7172574513
2024-07-27,Pipistrelle commune,1,Aplomb,-0.3806054591,44.7167962612
2024-07-26,Petit Rhinolophe,4,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Pipistrelle commune,5,Aplomb,-0.3806054591,44.7167962612
2024-07-25,Pipistrelle commune,6,Labat,-0.3820672631,44.7143621141
2024-07-24,Pipistrelle de Kuhl,1,Labat,-0.3820672631,44.7143621141
2024-07-05,Barbatiste pyreneen,21,Bois,-0.3774109483,44.7149057142
2024-03-08,Serotine commune,20,Entrée,-0.3853797913,44.7167335603
2024-05-31,Noctule de Leisler,1,Bas Glanan,-0.3770622611,44.7172574513
2024-05-31,Barbitiste languedocien,18,Garenne,-0.3852939606,44.7161770169
2024-07-02,Barbatiste pyreneen,21,Garenne,-0.3852939606,44.7161770169
2024-07-24,Noctule de Leisler,4,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Pipistrelle commune,0,Bas Glanan,-0.3770622611,44.7172574513
2024-07-26,Petit Rhinolophe,5,Aplomb,-0.3806054591,44.7167962612
2024-07-26,Pipistrelle commune,23,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Pipistrelle de Kuhl,1,Bois,-0.3774109483,44.7149057142
2024-03-07,Serotine commune,18,Château,-0.3834056854,44.7177627705
2024-07-24,Pipistrelle commune,22,Labat,-0.3820672631,44.7143621141
2024-07-03,Decticelle cotiere,23,Labat,-0.3820672631,44.7143621141
2024-05-30,Phaneroptere liliace,18,Bas Glanan,-0.3770622611,44.7172574513
2024-06-01,Noctule de Leisler,1,Bas Glanan,-0.3770622611,44.7172574513
2024-05-30,Pipistrelle commune,3,Bas Glanan,-0.3770622611,44.7172574513
2024-07-04,Lampyre sp.,22,Garenne,-0.3852939606,44.7161770169
2024-07-25,Pipistrelle commune,5,Bois,-0.3774109483,44.7149057142
2024-05-31,Murin de grande taille,22,Bas Glanan,-0.3770622611,44.7172574513
2024-07-27,Pipistrelle commune,2,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Pipistrelle commune,6,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Noctule de Leisler,6,Bas Glanan,-0.3770622611,44.7172574513
2024-07-24,Pipistrelle commune,1,Aplomb,-0.3806054591,44.7167962612
2024-07-24,Pipistrelle commune,23,Aplomb,-0.3806054591,44.7167962612
