title,text,id,datatype,startdate,enddate,geometry.type,latitude,longitude
Rhinolophus ferrumequinum,<a href="https://www.gbif.org/species/2432655" target="_blank">Voir sur GBIF</a>,536466f8-3dbc-47e6-93a5-a02f9dfea04f,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Parus major,<a href="https://www.gbif.org/species/9705453" target="_blank">Voir sur GBIF</a>,1d66ecc5-c2ad-4dc4-b922-e438b60f7ed7,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.72943,-0.37519
Rhinolophus ferrumequinum,<a href="https://www.gbif.org/species/2432655" target="_blank">Voir sur GBIF</a>,e282706d-73a6-4885-8c9e-9fafc6a409e5,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis bechsteinii,<a href="https://www.gbif.org/species/2432427" target="_blank">Voir sur GBIF</a>,3fb8b047-cfea-459c-81ff-893ee68b9076,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis nattereri,<a href="https://www.gbif.org/species/2432389" target="_blank">Voir sur GBIF</a>,df6a148d-3a66-4d81-bcf1-0362accb8b57,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus hipposideros,<a href="https://www.gbif.org/species/10991082" target="_blank">Voir sur GBIF</a>,9012cfd9-fd60-436d-a76f-89d78b63ade8,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis emarginatus,<a href="https://www.gbif.org/species/2432470" target="_blank">Voir sur GBIF</a>,c9b23193-beb8-4680-9168-26ecf8ea9de3,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Fringilla coelebs,<a href="https://www.gbif.org/species/2494422" target="_blank">Voir sur GBIF</a>,186cc216-82d6-451f-a8f0-f86ad06682f2,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.72943,-0.37519
Myotis bechsteinii,<a href="https://www.gbif.org/species/2432427" target="_blank">Voir sur GBIF</a>,67434cd7-5b20-485d-a0d6-6492a91bbaaf,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis daubentonii,<a href="https://www.gbif.org/species/2432439" target="_blank">Voir sur GBIF</a>,9cd68da5-5b7e-4d56-a210-93268c2505c2,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Myotis bechsteinii,<a href="https://www.gbif.org/species/2432427" target="_blank">Voir sur GBIF</a>,ec5a4461-b3aa-4267-a433-d8982bef018e,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus ferrumequinum,<a href="https://www.gbif.org/species/2432655" target="_blank">Voir sur GBIF</a>,4cb5e5c7-7d37-4ec6-9b9f-b0bc2ace56f1,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Erithacus rubecula,<a href="https://www.gbif.org/species/2492462" target="_blank">Voir sur GBIF</a>,4cf63051-6a94-44a2-8dcc-3792ae2cab61,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.72943,-0.37519
Myotis daubentonii,<a href="https://www.gbif.org/species/2432439" target="_blank">Voir sur GBIF</a>,96efd632-7e4d-4eae-984c-4cfbe4bbcb4a,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Phasianus colchicus,<a href="https://www.gbif.org/species/9752149" target="_blank">Voir sur GBIF</a>,077639c4-cdd3-47bb-abda-3467d0afae79,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.72943,-0.37519
Myotis bechsteinii,<a href="https://www.gbif.org/species/2432427" target="_blank">Voir sur GBIF</a>,e40c8d4b-6d5a-4984-8adf-7f255c0a7724,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus hipposideros,<a href="https://www.gbif.org/species/10991082" target="_blank">Voir sur GBIF</a>,459062bf-384e-4639-a9cf-3d4c65f618ec,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus hipposideros,<a href="https://www.gbif.org/species/10991082" target="_blank">Voir sur GBIF</a>,f78f5b8f-8c1d-4f83-a60d-fa6f0c3ba375,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Rhinolophus ferrumequinum,<a href="https://www.gbif.org/species/2432655" target="_blank">Voir sur GBIF</a>,10a2cbaa-3e64-43f6-a3ba-895595b103a0,gbif,2022-01-29T00:00:00.000Z,2022-01-29T00:00:00.000Z,Point,44.69358,-0.34568
Grus grus,<a href="https://www.gbif.org/species/2474950" target="_blank">Voir sur GBIF</a>,4a6efebd-bb7e-438b-9e42-6d3897094560,gbif,2022-01-25T00:00:00.000Z,2022-01-25T00:00:00.000Z,Point,44.707466,-0.400277
Columba palumbus,<a href="https://www.gbif.org/species/2495455" target="_blank">Voir sur GBIF</a>,f811ef86-29db-479f-b5a2-357e266c1914,gbif,2021-12-29T00:00:00.000Z,2021-12-29T00:00:00.000Z,Point,44.70778,-0.37413
Aegithalos caudatus,<a href="https://www.gbif.org/species/2495000" target="_blank">Voir sur GBIF</a>,bd27e031-cd1f-4376-b7ea-f4a6945fc918,gbif,2021-12-25T00:00:00.000Z,2021-12-25T00:00:00.000Z,Point,44.70778,-0.37413
Buteo buteo,<a href="https://www.gbif.org/species/2480537" target="_blank">Voir sur GBIF</a>,5ec27e16-2453-48ad-8ea7-be4558a0bb22,gbif,2021-12-25T00:00:00.000Z,2021-12-25T00:00:00.000Z,Point,44.70778,-0.37413
Turdus iliacus,<a href="https://www.gbif.org/species/2490781" target="_blank">Voir sur GBIF</a>,b3eb97ca-4604-47a3-9759-52a766fed18d,gbif,2021-12-25T00:00:00.000Z,2021-12-25T00:00:00.000Z,Point,44.70778,-0.37413
Turdus viscivorus,<a href="https://www.gbif.org/species/2490774" target="_blank">Voir sur GBIF</a>,8928f6ea-9735-439a-8e71-f4840c398a4b,gbif,2021-12-25T00:00:00.000Z,2021-12-25T00:00:00.000Z,Point,44.70778,-0.37413
Arum italicum,<a href="https://www.gbif.org/species/5330661" target="_blank">Voir sur GBIF</a>,3aa112df-9a6f-4702-a258-d6cbe2245f05,gbif,2021-12-24T15:41:03.057Z,2021-12-24T15:41:03.057Z,Point,44.72263,-0.40477
Picus viridis,<a href="https://www.gbif.org/species/2478523" target="_blank">Voir sur GBIF</a>,dd067737-5e36-4a64-9ea9-571766a81a89,gbif,2021-12-24T00:00:00.000Z,2021-12-24T00:00:00.000Z,Point,44.73669,-0.36622
Streptopelia decaocto,<a href="https://www.gbif.org/species/2495696" target="_blank">Voir sur GBIF</a>,e58f5c8e-c84b-44a8-8f4a-63caaccce450,gbif,2021-12-24T00:00:00.000Z,2021-12-24T00:00:00.000Z,Point,44.73669,-0.36622
Pica pica,<a href="https://www.gbif.org/species/5229490" target="_blank">Voir sur GBIF</a>,ce60f00d-6c70-458d-8b22-091d16387dbc,gbif,2021-12-24T00:00:00.000Z,2021-12-24T00:00:00.000Z,Point,44.73669,-0.36622
Cyanistes caeruleus,<a href="https://www.gbif.org/species/2487879" target="_blank">Voir sur GBIF</a>,72d92ef9-39fc-4a70-8bb2-553b6e9f4974,gbif,2021-12-24T00:00:00.000Z,2021-12-24T00:00:00.000Z,Point,44.73669,-0.36622
Fringilla coelebs,<a href="https://www.gbif.org/species/2494422" target="_blank">Voir sur GBIF</a>,e8732a5e-719a-4de2-b917-89ff2ad5a861,gbif,2021-12-24T00:00:00.000Z,2021-12-24T00:00:00.000Z,Point,44.73669,-0.36622
Columba livia,<a href="https://www.gbif.org/species/2495414" target="_blank">Voir sur GBIF</a>,99d68c24-7ee9-43af-a65c-75fc2f7f5c0d,gbif,2021-12-22T00:00:00.000Z,2021-12-22T00:00:00.000Z,Point,44.70778,-0.37413
Aglais io,<a href="https://www.gbif.org/species/4535827" target="_blank">Voir sur GBIF</a>,042f6ffb-087b-438c-832d-15532cae86ed,gbif,2021-12-22T00:00:00.000Z,2021-12-22T00:00:00.000Z,Point,44.70778,-0.37413
Phoenicurus ochruros,<a href="https://www.gbif.org/species/5739315" target="_blank">Voir sur GBIF</a>,73b85107-04ee-4616-9009-31c377ad8283,gbif,2021-12-22T00:00:00.000Z,2021-12-22T00:00:00.000Z,Point,44.70778,-0.37413
